"Рік","I","II","III","IV","V","VI","VII","VIII","IX","X","XI","XII","I.XII"
1881,"-9.9","-6.2","-2.2","4.4","14.1","16.9","19.6","18.1","12.3","4.6","0.4","-4.9","5.6"
1882,"-1.4","-2.5","4.4","7.6","15.3","16.1","22.7","18.4","14.5","4.6","0.5","-5.6","7.9"
1883,"-10.2","-7.7","-3.8","4.6","14.6","19.3","21.1","18.5","16.0","8.2","3.1","-3.7","6.7"
1884,"-3.5","-1.6","-2.6","4.1","13.9","18.2","19.6","15.5","12.1","7.4","-1.4","0.4","6.8"
1885,"-6.3","-3.4","0.0","9.0","13.0","19.0","22.8","16.1","14.3","10.3","-0.5","-3.5","7.6"
1886,"-4.0","-8.6","-3.9","8.2","15.2","17.3","17.9","18.7","13.7","5.5","3.2","0.9","7.0"
1887,"-4.3","-6.2","-0.9","6.3","16.2","13.9","18.8","16.9","15.5","5.9","2.9","-1.3","7.0"
1888,"-8.5","-9.7","-2.1","8.5","13.9","16.6","17.7","17.2","14.0","8.6","-0.8","-7.3","5.7"
1889,"-9.4","-3.9","-4.8","7.4","17.4","17.9","20.7","18.0","10.6","10.2","3.3","-6.2","6.8"
1890,"-4.0","-6.8","1.6","10.6","16.6","16.1","20.6","22.8","14.0","6.5","0.7","-11.9","7.2"
1891,"-9.0","-6.4","1.1","5.7","16.3","17.5","21.3","18.6","14.4","8.8","-2.5","-1.8","7.0"
1892,"-7.6","-2.3","-1.3","8.2","15.9","20.7","18.2","20.1","16.7","7.7","-1.0","-5.6","7.5"
1893,"-14.6","-5.2","-0.1","2.9","12.5","16.5","18.6","17.7","12.6","9.3","1.4","-2.9","5.7"
1894,"-8.1","-2.6","1.4","7.8","13.5","14.4","19.6","18.3","10.2","6.8","0.6","-3.9","6.5"
1895,"-2.0","-7.5","-1.7","5.7","13.6","17.0","20.1","18.8","12.8","9.0","1.9","-8.2","6.6"
1896,"-10.7","-5.1","-0.8","4.2","13.3","18.7","19.3","19.7","14.8","12.1","-1.4","-3.5","6.7"
1897,"-6.9","-3.9","1.1","9.6","17.4","18.5","21.8","20.3","14.6","7.1","-1.4","-5.1","7.8"
1898,"-2.9","-4.9","-4.4","5.2","16.4","16.0","18.2","19.4","12.0","4.9","3.5","0.7","7.0"
1899,"-0.3","-3.3","-0.3","8.5","14.3","14.9","19.0","16.0","14.4","7.6","3.4","-8.3","7.2"
1900,"-5.1","-3.2","-2.8","5.7","14.2","16.4","19.8","20.2","12.3","8.7","-0.3","-0.3","7.1"
1901,"-6.2","-6.4","0.5","6.9","14.6","21.6","20.1","19.6","12.2","7.8","0.7","0.0","7.6"
1902,"-0.4","-3.2","0.3","5.2","12.4","18.1","16.9","17.2","12.1","5.1","-3.7","-8.2","6.0"
1903,"-4.6","-0.2","3.8","8.3","14.5","19.0","20.0","18.6","15.1","5.8","2.9","-4.6","8.2"
1904,"-6.8","-1.3","-2.4","6.6","11.9","16.0","17.2","17.3","11.4","7.9","0.6","-1.2","6.4"
1905,"-7.4","-3.5","-1.5","5.7","15.4","19.4","18.9","19.5","13.8","6.6","3.2","-2.4","7.3"
1906,"-3.7","-4.7","1.9","9.9","17.9","19.1","19.3","16.5","11.6","6.5","3.4","-2.9","7.9"
1907,"-7.7","-8.1","-2.5","4.8","16.8","17.2","17.8","17.2","14.4","10.9","-2.3","-6.0","6.0"
1908,"-4.7","-2.6","-1.7","5.4","14.2","17.2","19.0","17.4","13.2","5.4","-3.4","-7.2","6.0"
1909,"-8.9","-9.0","-1.6","4.9","12.3","17.8","19.3","19.9","18.4","10.8","1.5","-0.8","7.1"
1910,"-3.4","-1.0","1.4","8.3","16.2","19.9","19.0","16.9","13.5","5.7","2.0","-0.8","8.1"
1911,"-6.3","-10.8","-0.9","8.2","16.1","15.0","17.0","17.6","13.0","8.0","2.9","-4.1","6.3"
1912,"-8.8","-6.1","2.2","5.4","11.5","18.2","17.0","17.4","11.8","2.8","0.5","0.2","6.0"
1913,"-5.1","-4.1","4.2","10.4","12.2","15.4","17.7","19.0","14.1","7.3","4.1","0.2","8.0"
1914,"-5.0","0.7","3.9","8.2","15.7","18.0","20.0","16.8","11.5","5.6","-1.9","-1.4","7.7"
1915,"-2.7","-3.3","-3.0","7.9","13.8","18.1","20.0","16.6","12.2","6.2","0.9","-1.7","7.1"
1916,"-2.1","-2.5","0.9","8.7","12.2","16.8","18.6","16.5","12.2","7.7","1.7","-2.3","7.4"
1917,"-8.2","-11.0","-3.7","8.0","12.4","19.8","17.6","19.1","13.3","8.8","4.7","-3.9","6.4"
