"year","month","temperature"
1881,"Cічень",-9.9
1881,"Лютий",-6.2
1881,"Березень",-2.2
1881,"Квітень",4.4
1881,"Травень",14.1
1881,"Червень",16.9
1881,"Липень",19.6
1881,"Серпень",18.1
1881,"Вересень",12.3
1881,"Жовтень",4.6
1881,"Листопад",0.4
1881,"Грудень",-4.9
1882,"Cічень",-1.4
1882,"Лютий",-2.5
1882,"Березень",4.4
1882,"Квітень",7.6
1882,"Травень",15.3
1882,"Червень",16.1
1882,"Липень",22.7
1882,"Серпень",18.4
1882,"Вересень",14.5
1882,"Жовтень",4.6
1882,"Листопад",0.5
1882,"Грудень",-5.6
1883,"Cічень",-10.2
1883,"Лютий",-7.7
1883,"Березень",-3.8
1883,"Квітень",4.6
1883,"Травень",14.6
1883,"Червень",19.3
1883,"Липень",21.1
1883,"Серпень",18.5
1883,"Вересень",16
1883,"Жовтень",8.2
1883,"Листопад",3.1
1883,"Грудень",-3.7
1884,"Cічень",-3.5
1884,"Лютий",-1.6
1884,"Березень",-2.6
1884,"Квітень",4.1
1884,"Травень",13.9
1884,"Червень",18.2
1884,"Липень",19.6
1884,"Серпень",15.5
1884,"Вересень",12.1
1884,"Жовтень",7.4
1884,"Листопад",-1.4
1884,"Грудень",0.4
1885,"Cічень",-6.3
1885,"Лютий",-3.4
1885,"Березень",0
1885,"Квітень",9
1885,"Травень",13
1885,"Червень",19
1885,"Липень",22.8
1885,"Серпень",16.1
1885,"Вересень",14.3
1885,"Жовтень",10.3
1885,"Листопад",-0.5
1885,"Грудень",-3.5
1886,"Cічень",-4
1886,"Лютий",-8.6
1886,"Березень",-3.9
1886,"Квітень",8.2
1886,"Травень",15.2
1886,"Червень",17.3
1886,"Липень",17.9
1886,"Серпень",18.7
1886,"Вересень",13.7
1886,"Жовтень",5.5
1886,"Листопад",3.2
1886,"Грудень",0.9
1887,"Cічень",-4.3
1887,"Лютий",-6.2
1887,"Березень",-0.9
1887,"Квітень",6.3
1887,"Травень",16.2
1887,"Червень",13.9
1887,"Липень",18.8
1887,"Серпень",16.9
1887,"Вересень",15.5
1887,"Жовтень",5.9
1887,"Листопад",2.9
1887,"Грудень",-1.3
1888,"Cічень",-8.5
1888,"Лютий",-9.7
1888,"Березень",-2.1
1888,"Квітень",8.5
1888,"Травень",13.9
1888,"Червень",16.6
1888,"Липень",17.7
1888,"Серпень",17.2
1888,"Вересень",14
1888,"Жовтень",8.6
1888,"Листопад",-0.8
1888,"Грудень",-7.3
1889,"Cічень",-9.4
1889,"Лютий",-3.9
1889,"Березень",-4.8
1889,"Квітень",7.4
1889,"Травень",17.4
1889,"Червень",17.9
1889,"Липень",20.7
1889,"Серпень",18
1889,"Вересень",10.6
1889,"Жовтень",10.2
1889,"Листопад",3.3
1889,"Грудень",-6.2
1890,"Cічень",-4
1890,"Лютий",-6.8
1890,"Березень",1.6
1890,"Квітень",10.6
1890,"Травень",16.6
1890,"Червень",16.1
1890,"Липень",20.6
1890,"Серпень",22.8
1890,"Вересень",14
1890,"Жовтень",6.5
1890,"Листопад",0.7
1890,"Грудень",-11.9
1891,"Cічень",-9
1891,"Лютий",-6.4
1891,"Березень",1.1
1891,"Квітень",5.7
1891,"Травень",16.3
1891,"Червень",17.5
1891,"Липень",21.3
1891,"Серпень",18.6
1891,"Вересень",14.4
1891,"Жовтень",8.8
1891,"Листопад",-2.5
1891,"Грудень",-1.8
1892,"Cічень",-7.6
1892,"Лютий",-2.3
1892,"Березень",-1.3
1892,"Квітень",8.2
1892,"Травень",15.9
1892,"Червень",20.7
1892,"Липень",18.2
1892,"Серпень",20.1
1892,"Вересень",16.7
1892,"Жовтень",7.7
1892,"Листопад",-1
1892,"Грудень",-5.6
1893,"Cічень",-14.6
1893,"Лютий",-5.2
1893,"Березень",-0.1
1893,"Квітень",2.9
1893,"Травень",12.5
1893,"Червень",16.5
1893,"Липень",18.6
1893,"Серпень",17.7
1893,"Вересень",12.6
1893,"Жовтень",9.3
1893,"Листопад",1.4
1893,"Грудень",-2.9
1894,"Cічень",-8.1
1894,"Лютий",-2.6
1894,"Березень",1.4
1894,"Квітень",7.8
1894,"Травень",13.5
1894,"Червень",14.4
1894,"Липень",19.6
1894,"Серпень",18.3
1894,"Вересень",10.2
1894,"Жовтень",6.8
1894,"Листопад",0.6
1894,"Грудень",-3.9
1895,"Cічень",-2
1895,"Лютий",-7.5
1895,"Березень",-1.7
1895,"Квітень",5.7
1895,"Травень",13.6
1895,"Червень",17
1895,"Липень",20.1
1895,"Серпень",18.8
1895,"Вересень",12.8
1895,"Жовтень",9
1895,"Листопад",1.9
1895,"Грудень",-8.2
1896,"Cічень",-10.7
1896,"Лютий",-5.1
1896,"Березень",-0.8
1896,"Квітень",4.2
1896,"Травень",13.3
1896,"Червень",18.7
1896,"Липень",19.3
1896,"Серпень",19.7
1896,"Вересень",14.8
1896,"Жовтень",12.1
1896,"Листопад",-1.4
1896,"Грудень",-3.5
1897,"Cічень",-6.9
1897,"Лютий",-3.9
1897,"Березень",1.1
1897,"Квітень",9.6
1897,"Травень",17.4
1897,"Червень",18.5
1897,"Липень",21.8
1897,"Серпень",20.3
1897,"Вересень",14.6
1897,"Жовтень",7.1
1897,"Листопад",-1.4
1897,"Грудень",-5.1
1898,"Cічень",-2.9
1898,"Лютий",-4.9
1898,"Березень",-4.4
1898,"Квітень",5.2
1898,"Травень",16.4
1898,"Червень",16
1898,"Липень",18.2
1898,"Серпень",19.4
1898,"Вересень",12
1898,"Жовтень",4.9
1898,"Листопад",3.5
1898,"Грудень",0.7
1899,"Cічень",-0.3
1899,"Лютий",-3.3
1899,"Березень",-0.3
1899,"Квітень",8.5
1899,"Травень",14.3
1899,"Червень",14.9
1899,"Липень",19
1899,"Серпень",16
1899,"Вересень",14.4
1899,"Жовтень",7.6
1899,"Листопад",3.4
1899,"Грудень",-8.3
1900,"Cічень",-5.1
1900,"Лютий",-3.2
1900,"Березень",-2.8
1900,"Квітень",5.7
1900,"Травень",14.2
1900,"Червень",16.4
1900,"Липень",19.8
1900,"Серпень",20.2
1900,"Вересень",12.3
1900,"Жовтень",8.7
1900,"Листопад",-0.3
1900,"Грудень",-0.3
1901,"Cічень",-6.2
1901,"Лютий",-6.4
1901,"Березень",0.5
1901,"Квітень",6.9
1901,"Травень",14.6
1901,"Червень",21.6
1901,"Липень",20.1
1901,"Серпень",19.6
1901,"Вересень",12.2
1901,"Жовтень",7.8
1901,"Листопад",0.7
1901,"Грудень",0
1902,"Cічень",-0.4
1902,"Лютий",-3.2
1902,"Березень",0.3
1902,"Квітень",5.2
1902,"Травень",12.4
1902,"Червень",18.1
1902,"Липень",16.9
1902,"Серпень",17.2
1902,"Вересень",12.1
1902,"Жовтень",5.1
1902,"Листопад",-3.7
1902,"Грудень",-8.2
1903,"Cічень",-4.6
1903,"Лютий",-0.2
1903,"Березень",3.8
1903,"Квітень",8.3
1903,"Травень",14.5
1903,"Червень",19
1903,"Липень",20
1903,"Серпень",18.6
1903,"Вересень",15.1
1903,"Жовтень",5.8
1903,"Листопад",2.9
1903,"Грудень",-4.6
1904,"Cічень",-6.8
1904,"Лютий",-1.3
1904,"Березень",-2.4
1904,"Квітень",6.6
1904,"Травень",11.9
1904,"Червень",16
1904,"Липень",17.2
1904,"Серпень",17.3
1904,"Вересень",11.4
1904,"Жовтень",7.9
1904,"Листопад",0.6
1904,"Грудень",-1.2
1905,"Cічень",-7.4
1905,"Лютий",-3.5
1905,"Березень",-1.5
1905,"Квітень",5.7
1905,"Травень",15.4
1905,"Червень",19.4
1905,"Липень",18.9
1905,"Серпень",19.5
1905,"Вересень",13.8
1905,"Жовтень",6.6
1905,"Листопад",3.2
1905,"Грудень",-2.4
1906,"Cічень",-3.7
1906,"Лютий",-4.7
1906,"Березень",1.9
1906,"Квітень",9.9
1906,"Травень",17.9
1906,"Червень",19.1
1906,"Липень",19.3
1906,"Серпень",16.5
1906,"Вересень",11.6
1906,"Жовтень",6.5
1906,"Листопад",3.4
1906,"Грудень",-2.9
1907,"Cічень",-7.7
1907,"Лютий",-8.1
1907,"Березень",-2.5
1907,"Квітень",4.8
1907,"Травень",16.8
1907,"Червень",17.2
1907,"Липень",17.8
1907,"Серпень",17.2
1907,"Вересень",14.4
1907,"Жовтень",10.9
1907,"Листопад",-2.3
1907,"Грудень",-6
1908,"Cічень",-4.7
1908,"Лютий",-2.6
1908,"Березень",-1.7
1908,"Квітень",5.4
1908,"Травень",14.2
1908,"Червень",17.2
1908,"Липень",19
1908,"Серпень",17.4
1908,"Вересень",13.2
1908,"Жовтень",5.4
1908,"Листопад",-3.4
1908,"Грудень",-7.2
1909,"Cічень",-8.9
1909,"Лютий",-9
1909,"Березень",-1.6
1909,"Квітень",4.9
1909,"Травень",12.3
1909,"Червень",17.8
1909,"Липень",19.3
1909,"Серпень",19.9
1909,"Вересень",18.4
1909,"Жовтень",10.8
1909,"Листопад",1.5
1909,"Грудень",-0.8
1910,"Cічень",-3.4
1910,"Лютий",-1
1910,"Березень",1.4
1910,"Квітень",8.3
1910,"Травень",16.2
1910,"Червень",19.9
1910,"Липень",19
1910,"Серпень",16.9
1910,"Вересень",13.5
1910,"Жовтень",5.7
1910,"Листопад",2
1910,"Грудень",-0.8
1911,"Cічень",-6.3
1911,"Лютий",-10.8
1911,"Березень",-0.9
1911,"Квітень",8.2
1911,"Травень",16.1
1911,"Червень",15
1911,"Липень",17
1911,"Серпень",17.6
1911,"Вересень",13
1911,"Жовтень",8
1911,"Листопад",2.9
1911,"Грудень",-4.1
1912,"Cічень",-8.8
1912,"Лютий",-6.1
1912,"Березень",2.2
1912,"Квітень",5.4
1912,"Травень",11.5
1912,"Червень",18.2
1912,"Липень",17
1912,"Серпень",17.4
1912,"Вересень",11.8
1912,"Жовтень",2.8
1912,"Листопад",0.5
1912,"Грудень",0.2
1913,"Cічень",-5.1
1913,"Лютий",-4.1
1913,"Березень",4.2
1913,"Квітень",10.4
1913,"Травень",12.2
1913,"Червень",15.4
1913,"Липень",17.7
1913,"Серпень",19
1913,"Вересень",14.1
1913,"Жовтень",7.3
1913,"Листопад",4.1
1913,"Грудень",0.2
1914,"Cічень",-5
1914,"Лютий",0.7
1914,"Березень",3.9
1914,"Квітень",8.2
1914,"Травень",15.7
1914,"Червень",18
1914,"Липень",20
1914,"Серпень",16.8
1914,"Вересень",11.5
1914,"Жовтень",5.6
1914,"Листопад",-1.9
1914,"Грудень",-1.4
1915,"Cічень",-2.7
1915,"Лютий",-3.3
1915,"Березень",-3
1915,"Квітень",7.9
1915,"Травень",13.8
1915,"Червень",18.1
1915,"Липень",20
1915,"Серпень",16.6
1915,"Вересень",12.2
1915,"Жовтень",6.2
1915,"Листопад",0.9
1915,"Грудень",-1.7
1916,"Cічень",-2.1
1916,"Лютий",-2.5
1916,"Березень",0.9
1916,"Квітень",8.7
1916,"Травень",12.2
1916,"Червень",16.8
1916,"Липень",18.6
1916,"Серпень",16.5
1916,"Вересень",12.2
1916,"Жовтень",7.7
1916,"Листопад",1.7
1916,"Грудень",-2.3
1917,"Cічень",-8.2
1917,"Лютий",-11
1917,"Березень",-3.7
1917,"Квітень",8
1917,"Травень",12.4
1917,"Червень",19.8
1917,"Липень",17.6
1917,"Серпень",19.1
1917,"Вересень",13.3
1917,"Жовтень",8.8
1917,"Листопад",4.7
1917,"Грудень",-3.9
1918,"Cічень",-2.5
1918,"Лютий",-2.8
1918,"Березень",0.3
1918,"Квітень",10.6
1918,"Травень",11.6
1918,"Червень",16.7
1918,"Липень",18.1
1918,"Серпень",17
1918,"Вересень",15.1
1918,"Жовтень",12.1
1918,"Листопад",0.1
1918,"Грудень",-2.9
1919,"Cічень",-4.6
1919,"Лютий",-5.3
1919,"Березень",-0.6
1919,"Квітень",9.4
1919,"Травень",10.4
1919,"Червень",16.1
1919,"Липень",18.8
1919,"Серпень",16.2
1919,"Вересень",17
1919,"Жовтень",6.7
1919,"Листопад",-3.5
1919,"Грудень",-3.7
1920,"Cічень",-4.6
1920,"Лютий",-5.3
1920,"Березень",2.9
1920,"Квітень",12.5
1920,"Травень",16.9
1920,"Червень",15.6
1920,"Липень",22.4
1920,"Серпень",20.4
1920,"Вересень",13.9
1920,"Жовтень",2.2
1920,"Листопад",-2.5
1920,"Грудень",-5.7
1921,"Cічень",-1.1
1921,"Лютий",-6.5
1921,"Березень",4.8
1921,"Квітень",10.6
1921,"Травень",16.6
1921,"Червень",17.9
1921,"Липень",19.6
1921,"Серпень",19.8
1921,"Вересень",11.8
1921,"Жовтень",7.9
1921,"Листопад",-3.5
1921,"Грудень",-5.9
1922,"Cічень",-8.6
1922,"Лютий",-5.4
1922,"Березень",1.4
1922,"Квітень",6.6
1922,"Травень",14.5
1922,"Червень",17.5
1922,"Липень",20.5
1922,"Серпень",18.1
1922,"Вересень",11.4
1922,"Жовтень",4
1922,"Листопад",1.9
1922,"Грудень",-1.7
1923,"Cічень",-2.6
1923,"Лютий",-8.4
1923,"Березень",1
1923,"Квітень",5.5
1923,"Травень",16.7
1923,"Червень",16.1
1923,"Липень",18.1
1923,"Серпень",16.4
1923,"Вересень",15.8
1923,"Жовтень",10.4
1923,"Листопад",5.8
1923,"Грудень",-3.5
1924,"Cічень",-11.8
1924,"Лютий",-7.4
1924,"Березень",-3.5
1924,"Квітень",5.3
1924,"Травень",17.7
1924,"Червень",21.3
1924,"Липень",18.2
1924,"Серпень",18.6
1924,"Вересень",16.9
1924,"Жовтень",8.1
1924,"Листопад",0.5
1924,"Грудень",-5
1925,"Cічень",-0.3
1925,"Лютий",1.5
1925,"Березень",1.9
1925,"Квітень",9
1925,"Травень",16.8
1925,"Червень",14.9
1925,"Липень",20.6
1925,"Серпень",17.9
1925,"Вересень",12.7
1925,"Жовтень",6.8
1925,"Листопад",1.9
1925,"Грудень",-4.2
1926,"Cічень",-5.8
1926,"Лютий",-4.8
1926,"Березень",-1.9
1926,"Квітень",8.6
1926,"Травень",15
1926,"Червень",17.5
1926,"Липень",20.1
1926,"Серпень",15.5
1926,"Вересень",12.6
1926,"Жовтень",7.6
1926,"Листопад",6.1
1926,"Грудень",-2.7
1927,"Cічень",-8.2
1927,"Лютий",-6.4
1927,"Березень",1.7
1927,"Квітень",7.3
1927,"Травень",12.7
1927,"Червень",19.7
1927,"Липень",20.4
1927,"Серпень",20.3
1927,"Вересень",16.6
1927,"Жовтень",8.9
1927,"Листопад",1.5
1927,"Грудень",-9.2
1928,"Cічень",-5.3
1928,"Лютий",-7.9
1928,"Березень",-5.3
1928,"Квітень",6.1
1928,"Травень",13
1928,"Червень",14.3
1928,"Липень",19.4
1928,"Серпень",16.4
1928,"Вересень",13.5
1928,"Жовтень",6.9
1928,"Листопад",4.5
1928,"Грудень",-2.6
1929,"Cічень",-8.8
1929,"Лютий",-15.9
1929,"Березень",-4.6
1929,"Квітень",2
1929,"Травень",16.7
1929,"Червень",15.4
1929,"Липень",19
1929,"Серпень",22.8
1929,"Вересень",12.3
1929,"Жовтень",11.8
1929,"Листопад",3.3
1929,"Грудень",-1.7
1930,"Cічень",-2.2
1930,"Лютий",-3.9
1930,"Березень",2.3
1930,"Квітень",9
1930,"Травень",14.5
1930,"Червень",17
1930,"Липень",17.8
1930,"Серпень",18.8
1930,"Вересень",13
1930,"Жовтень",9
1930,"Листопад",4
1930,"Грудень",-5.8
1931,"Cічень",-7
1931,"Лютий",-9.9
1931,"Березень",-2.8
1931,"Квітень",4.4
1931,"Травень",16.9
1931,"Червень",17.9
1931,"Липень",21.6
1931,"Серпень",18.1
1931,"Вересень",12.2
1931,"Жовтень",6.8
1931,"Листопад",-0.3
1931,"Грудень",-3.7
1932,"Cічень",-2.5
1932,"Лютий",-10.3
1932,"Березень",-4.8
1932,"Квітень",6.7
1932,"Травень",16.5
1932,"Червень",17.7
1932,"Липень",20.9
1932,"Серпень",18.9
1932,"Вересень",16.7
1932,"Жовтень",9.7
1932,"Листопад",2
1932,"Грудень",0.1
1933,"Cічень",-9.2
1933,"Лютий",-5.2
1933,"Березень",-1.2
1933,"Квітень",3.7
1933,"Травень",12.9
1933,"Червень",14.8
1933,"Липень",19.4
1933,"Серпень",16.6
1933,"Вересень",12.6
1933,"Жовтень",8.4
1933,"Листопад",1.5
1933,"Грудень",-9.4
1934,"Cічень",-6.4
1934,"Лютий",-3.3
1934,"Березень",3.4
1934,"Квітень",10.7
1934,"Травень",16.6
1934,"Червень",17.5
1934,"Липень",19.1
1934,"Серпень",19.2
1934,"Вересень",15.9
1934,"Жовтень",9.9
1934,"Листопад",3.8
1934,"Грудень",-6.8
1935,"Cічень",-9.9
1935,"Лютий",-3.5
1935,"Березень",-1.1
1935,"Квітень",7.8
1935,"Травень",12.5
1935,"Червень",19.2
1935,"Липень",16.9
1935,"Серпень",18.4
1935,"Вересень",14.4
1935,"Жовтень",12.4
1935,"Листопад",-0.9
1935,"Грудень",-1.2
1936,"Cічень",0.4
1936,"Лютий",-5.4
1936,"Березень",2.9
1936,"Квітень",7.5
1936,"Травень",16.4
1936,"Червень",19
1936,"Липень",25.5
1936,"Серпень",18.2
1936,"Вересень",12.4
1936,"Жовтень",4.9
1936,"Листопад",1.9
1936,"Грудень",-1.2
1937,"Cічень",-9.1
1937,"Лютий",-4.3
1937,"Березень",2.1
1937,"Квітень",7.9
1937,"Травень",17.4
1937,"Червень",19.5
1937,"Липень",19.8
1937,"Серпень",19.2
1937,"Вересень",17.8
1937,"Жовтень",7.5
1937,"Листопад",2.6
1937,"Грудень",-2
1938,"Cічень",-6
1938,"Лютий",-3.4
1938,"Березень",3.4
1938,"Квітень",6.8
1938,"Травень",14
1938,"Червень",18.6
1938,"Липень",22.6
1938,"Серпень",21.9
1938,"Вересень",15.9
1938,"Жовтень",10.2
1938,"Листопад",4.9
1938,"Грудень",-6.7
1939,"Cічень",-2.8
1939,"Лютий",-1
1939,"Березень",-0.5
1939,"Квітень",9.1
1939,"Травень",15.2
1939,"Червень",19.5
1939,"Липень",21.5
1939,"Серпень",22
1939,"Вересень",14.5
1939,"Жовтень",5
1939,"Листопад",1.9
1939,"Грудень",-3.2
1940,"Cічень",-11.2
1940,"Лютий",-9.5
1940,"Березень",-3.5
1940,"Квітень",5.6
1940,"Травень",14.3
1940,"Червень",19
1940,"Липень",19.5
1940,"Серпень",18.2
1940,"Вересень",13.8
1940,"Жовтень",5.1
1940,"Листопад",4.6
1940,"Грудень",-5.7
1941,"Cічень",-9.9
1941,"Лютий",-3.3
1941,"Березень",-1.6
1941,"Квітень",7.3
1941,"Травень",11.4
1941,"Червень",16
1941,"Липень",20.4
1941,"Серпень",18.4
1941,"Вересень",13.8
1941,"Жовтень",5
1941,"Листопад",4.6
1941,"Грудень",-5.7
1942,"Cічень",-15
1942,"Лютий",-8.9
1942,"Березень",-6.9
1942,"Квітень",4.3
1942,"Травень",13.2
1942,"Червень",15.3
1942,"Липень",19
1942,"Серпень",20
1942,"Вересень",15.9
1942,"Жовтень",8.2
1942,"Листопад",-0.9
1942,"Грудень",-3.3
1943,"Cічень",-9.6
1943,"Лютий",-3.3
1943,"Березень",0.7
1943,"Квітень",9.6
1943,"Травень",12.6
1943,"Червень",17.9
1943,"Липень",17.9
1943,"Серпень",20.2
1943,"Вересень",15.9
1943,"Жовтень",8.1
1943,"Листопад",-0.9
1943,"Грудень",-3
1944,"Cічень",-2.1
1944,"Лютий",-2.1
1944,"Березень",0.3
1944,"Квітень",5.1
1944,"Травень",13.5
1944,"Червень",17.5
1944,"Липень",19.9
1944,"Серпень",19.3
1944,"Вересень",15.8
1944,"Жовтень",9.3
1944,"Листопад",3.2
1944,"Грудень",-4.1
1945,"Cічень",-7.7
1945,"Лютий",-6.1
1945,"Березень",-0.4
1945,"Квітень",6.9
1945,"Травень",12.8
1945,"Червень",17.1
1945,"Липень",19.2
1945,"Серпень",19.1
1945,"Вересень",14.3
1945,"Жовтень",6.6
1945,"Листопад",0.6
1945,"Грудень",-4.8
1946,"Cічень",-5.5
1946,"Лютий",-3.9
1946,"Березень",0.2
1946,"Квітень",9.6
1946,"Травень",16.5
1946,"Червень",21.2
1946,"Липень",20.5
1946,"Серпень",22.8
1946,"Вересень",15.3
1946,"Жовтень",3.2
1946,"Листопад",-0.6
1946,"Грудень",-5.8
1947,"Cічень",-9.7
1947,"Лютий",-8.2
1947,"Березень",0.3
1947,"Квітень",9.3
1947,"Травень",15.3
1947,"Червень",19.9
1947,"Липень",21.5
1947,"Серпень",17.8
1947,"Вересень",14.9
1947,"Жовтень",4.2
1947,"Листопад",1.2
1947,"Грудень",-0.4
1948,"Cічень",-1.2
1948,"Лютий",-5.4
1948,"Березень",-1
1948,"Квітень",10.2
1948,"Травень",16.7
1948,"Червень",19.9
1948,"Липень",18.5
1948,"Серпень",19.6
1948,"Вересень",13.8
1948,"Жовтень",8.3
1948,"Листопад",0.6
1948,"Грудень",-5.3
1949,"Cічень",-1.8
1949,"Лютий",-2.9
1949,"Березень",-0.3
1949,"Квітень",7.5
1949,"Травень",17.5
1949,"Червень",16.5
1949,"Липень",19.1
1949,"Серпень",18.2
1949,"Вересень",14.8
1949,"Жовтень",7
1949,"Листопад",4.4
1949,"Грудень",0
1950,"Cічень",-12.4
1950,"Лютий",-1.2
1950,"Березень",1.1
1950,"Квітень",12.9
1950,"Травень",15.8
1950,"Червень",17.5
1950,"Липень",18.9
1950,"Серпень",17.2
1950,"Вересень",14.6
1950,"Жовтень",6.5
1950,"Листопад",2.4
1950,"Грудень",-0.7
1951,"Cічень",-5.1
1951,"Лютий",-6.6
1951,"Березень",0.7
1951,"Квітень",10.7
1951,"Травень",13.9
1951,"Червень",19.3
1951,"Липень",20.4
1951,"Серпень",20.6
1951,"Вересень",15.3
1951,"Жовтень",4.6
1951,"Листопад",2.2
1951,"Грудень",-0.4
1952,"Cічень",-1.6
1952,"Лютий",-3.1
1952,"Березень",-6.4
1952,"Квітень",9.3
1952,"Травень",12.7
1952,"Червень",17.4
1952,"Липень",19.5
1952,"Серпень",20.8
1952,"Вересень",14.5
1952,"Жовтень",8.1
1952,"Листопад",1.1
1952,"Грудень",-3.1
1953,"Cічень",-4.7
1953,"Лютий",-7.4
1953,"Березень",0.5
1953,"Квітень",7.9
1953,"Травень",13.7
1953,"Червень",20.9
1953,"Липень",22.1
1953,"Серпень",19.2
1953,"Вересень",13.6
1953,"Жовтень",7.9
1953,"Листопад",-1.6
1953,"Грудень",-3.7
1954,"Cічень",-12.5
1954,"Лютий",-13
1954,"Березень",0.9
1954,"Квітень",5.3
1954,"Травень",15.4
1954,"Червень",21.8
1954,"Липень",20.3
1954,"Серпень",20.4
1954,"Вересень",16
1954,"Жовтень",7.9
1954,"Листопад",1.8
1954,"Грудень",-1.8
1955,"Cічень",-3.6
1955,"Лютий",-3.1
1955,"Березень",-0.8
1955,"Квітень",5
1955,"Травень",13.4
1955,"Червень",16.9
1955,"Липень",21
1955,"Серпень",19.8
1955,"Вересень",16.6
1955,"Жовтень",9.9
1955,"Листопад",-0.2
1955,"Грудень",-3.1
1956,"Cічень",-4.3
1956,"Лютий",-13.1
1956,"Березень",-2.8
1956,"Квітень",7
1956,"Травень",13.4
1956,"Червень",20.9
1956,"Липень",18.2
1956,"Серпень",18.1
1956,"Вересень",12.2
1956,"Жовтень",8
1956,"Листопад",-2.8
1956,"Грудень",-3.3
1957,"Cічень",-4.1
1957,"Лютий",0.6
1957,"Березень",-0.3
1957,"Квітень",9.3
1957,"Травень",14.6
1957,"Червень",18.9
1957,"Липень",20.3
1957,"Серпень",19.1
1957,"Вересень",13.7
1957,"Жовтень",8
1957,"Листопад",3
1957,"Грудень",-3.3
1958,"Cічень",-3.8
1958,"Лютий",-1
1958,"Березень",-0.6
1958,"Квітень",5.8
1958,"Травень",17.6
1958,"Червень",16.7
1958,"Липень",19.8
1958,"Серпень",18.3
1958,"Вересень",12.2
1958,"Жовтень",8.1
1958,"Листопад",1
1958,"Грудень",-0.5
1959,"Cічень",-2.1
1959,"Лютий",-2.6
1959,"Березень",1.8
1959,"Квітень",8
1959,"Травень",13.3
1959,"Червень",19
1959,"Липень",23.4
1959,"Серпень",19.7
1959,"Вересень",10.9
1959,"Жовтень",5.5
1959,"Листопад",-0.3
1959,"Грудень",-5.1
1960,"Cічень",-4.8
1960,"Лютий",-5
1960,"Березень",-2.2
1960,"Квітень",7.4
1960,"Травень",14.4
1960,"Червень",19.3
1960,"Липень",21.3
1960,"Серпень",17.9
1960,"Вересень",12
1960,"Жовтень",9.3
1960,"Листопад",3.7
1960,"Грудень",2.8
1961,"Cічень",-4.5
1961,"Лютий",-1.3
1961,"Березень",3.4
1961,"Квітень",9.6
1961,"Травень",13.2
1961,"Червень",20.3
1961,"Липень",20.4
1961,"Серпень",18.4
1961,"Вересень",13.5
1961,"Жовтень",8.1
1961,"Листопад",2.8
1961,"Грудень",-3.8
